video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
dc11uZ7_PnU,UC16niRr50-MSBwiO3YDb3RA,coronavirus in the uk the first  days  bbc news,BBC News,News & Politics,none,271220,2424,0,833,2020-05-09T16:42:04Z,"bbc,bbc news,news,coronavirus,covid-19,pandemic,health,United Kingdom",PT6M12S,hd,False,https://i.ytimg.com/vi/dc11uZ7_PnU/default.jpg,https://www.youtube.com/watch?v=dc11uZ7_PnU
RHFV0XcJxww,UC16niRr50-MSBwiO3YDb3RA,coronavirus what has covid done for climate crisis  bbc news,BBC News,News & Politics,none,78542,1413,0,515,2021-01-05T10:07:47Z,"bbc,bbc news,news",PT2M45S,hd,False,https://i.ytimg.com/vi/RHFV0XcJxww/default.jpg,https://www.youtube.com/watch?v=RHFV0XcJxww
3AgxeIVrH24,UC16niRr50-MSBwiO3YDb3RA,coronavirus v influenza how do the two viruses compare  bbc news,BBC News,News & Politics,none,406802,3192,0,985,2020-03-04T07:43:00Z,"bbc,bbc news,news",PT4M32S,hd,False,https://i.ytimg.com/vi/3AgxeIVrH24/default.jpg,https://www.youtube.com/watch?v=3AgxeIVrH24
kdUf0DhY6Ow,UC16niRr50-MSBwiO3YDb3RA,how has coronavirus changed how doctors deal with death  bbc news,BBC News,News & Politics,none,24350,331,0,186,2020-06-17T11:43:13Z,"bbc,bbc news,news,coronavirus,covid-19,death,care,health,pandemic,nurses,doctors,palliative care",PT5M9S,hd,False,https://i.ytimg.com/vi/kdUf0DhY6Ow/default.jpg,https://www.youtube.com/watch?v=kdUf0DhY6Ow
xqK4NfOOF9A,UC16niRr50-MSBwiO3YDb3RA,coronavirus and ibuprofen separating fact from fiction  bbc news,BBC News,News & Politics,none,234551,1824,0,469,2020-03-18T11:22:29Z,"bbc,bbc news,news,China coronavirus,coronavirus,coronavirus news,coronavirus symptoms,coronavirus latest,coronavirus cases,coronavirus deaths,corona virus,corona virus news,corona virus latest,china news,chinese news,world TV,BBC World,world news,covid 19,covid-19,Coronavirus Explained,corona virus US,corona Virus trump,donald trump,president trump,corona",PT3M54S,hd,False,https://i.ytimg.com/vi/xqK4NfOOF9A/default.jpg,https://www.youtube.com/watch?v=xqK4NfOOF9A
WE9gvJ8ou7g,UC16niRr50-MSBwiO3YDb3RA,coronavirus immunity explained  bbc news,BBC News,News & Politics,none,98443,1574,0,505,2020-07-08T12:53:19Z,"bbc,bbc news,news,coronavirus,covid-19,health,pandemic,immunity,lockdown,reality check",PT3M30S,hd,False,https://i.ytimg.com/vi/WE9gvJ8ou7g/default.jpg,https://www.youtube.com/watch?v=WE9gvJ8ou7g
T-1-mlAGu1Y,UC16niRr50-MSBwiO3YDb3RA,coronavirus when your childs in intensive care with covid  bbc news,BBC News,News & Politics,none,164945,1348,0,0,2020-05-01T13:34:33Z,"bbc,bbc news,news,coronavirus,covid-19,pandemic,health,children",PT2M48S,hd,False,https://i.ytimg.com/vi/T-1-mlAGu1Y/default.jpg,https://www.youtube.com/watch?v=T-1-mlAGu1Y
UZ2YVvXL7Hk,UC16niRr50-MSBwiO3YDb3RA,coronavirus why are there outbreaks in meat processing plants  bbc news,BBC News,News & Politics,none,71148,609,0,448,2020-06-23T10:06:44Z,"bbc,bbc news,news",PT8M53S,hd,False,https://i.ytimg.com/vi/UZ2YVvXL7Hk/default.jpg,https://www.youtube.com/watch?v=UZ2YVvXL7Hk
oKX_E7adVwg,UC16niRr50-MSBwiO3YDb3RA,coronavirus russia uses facial recognition to tackle covid  bbc news,BBC News,News & Politics,none,101061,1171,0,445,2020-04-07T11:59:22Z,"bbc,bbc news,news,coronavirus,covid-19,pandemic,health,Russia,surveillance,Sarah Rainsford,facial recognition",PT3M50S,hd,False,https://i.ytimg.com/vi/oKX_E7adVwg/default.jpg,https://www.youtube.com/watch?v=oKX_E7adVwg
1UtPZxGRZ5k,UC16niRr50-MSBwiO3YDb3RA,coronavirus health claims debunked  bbc news,BBC News,News & Politics,none,113220,1549,0,1158,2020-04-23T14:17:24Z,"bbc,bbc news,news,coronavirus,covid-19,pandemic,health,reality check,5G,Chris Morris",PT2M41S,hd,False,https://i.ytimg.com/vi/1UtPZxGRZ5k/default.jpg,https://www.youtube.com/watch?v=1UtPZxGRZ5k
